type;T;p;size;result
openmp;14.465969;7;100000000;5761455
openmp;13.791237;7;100000000;5761455
openmp;15.420944;7;100000000;5761455
openmp;14.592292;7;100000000;5761455
openmp;15.180455;7;100000000;5761455
openmp;15.540929;7;100000000;5761455
openmp;13.228338;7;100000000;5761455
mpi;13.027734;7;100000000;5761455
mpi;13.035337;7;100000000;5761455
mpi;13.029686;7;100000000;5761455
mpi;13.019798;7;100000000;5761455
mpi;12.936471;7;100000000;5761455
mpi;13.131194;7;100000000;5761455
mpi;13.505568;7;100000000;5761455
mpi;13.432959;7;100000000;5761455
mpi;13.096516;7;100000000;5761455
mpi;13.077042;7;100000000;5761455
hybrid;7.474846;7;100000000;5761455
hybrid;7.406621;7;100000000;5761455
hybrid;7.838415;7;100000000;5761455
hybrid;7.543874;7;100000000;5761455
hybrid;7.599594;7;100000000;5761455
hybrid;7.645210;7;100000000;5761455
hybrid;7.548409;7;100000000;5761455
hybrid;7.763324;7;100000000;5761455
hybrid;7.431715;7;100000000;5761455
hybrid;7.768286;7;100000000;5761455
openmp;13.479507;9;100000000;5761455
openmp;13.216721;9;100000000;5761455
openmp;13.698637;9;100000000;5761455
openmp;13.639998;9;100000000;5761455
openmp;13.666112;9;100000000;5761455
openmp;13.727671;9;100000000;5761455
openmp;13.680985;9;100000000;5761455
openmp;13.271972;9;100000000;5761455
openmp;13.494881;9;100000000;5761455
openmp;12.116692;9;100000000;5761455
mpi;10.984739;9;100000000;5761455
mpi;10.448543;9;100000000;5761455
mpi;10.766000;9;100000000;5761455
mpi;10.344511;9;100000000;5761455
mpi;10.158510;9;100000000;5761455
mpi;10.292086;9;100000000;5761455
mpi;10.257993;9;100000000;5761455
mpi;10.738460;9;100000000;5761455
mpi;10.440569;9;100000000;5761455
mpi;10.187743;9;100000000;5761455
hybrid;6.164363;9;100000000;5761455
hybrid;6.178670;9;100000000;5761455
hybrid;5.911356;9;100000000;5761455
hybrid;5.890523;9;100000000;5761455
hybrid;6.112351;9;100000000;5761455
hybrid;5.886503;9;100000000;5761455
hybrid;6.132048;9;100000000;5761455
hybrid;5.903695;9;100000000;5761455
hybrid;6.164766;9;100000000;5761455
hybrid;6.186384;9;100000000;5761455
openmp;12.568341;10;100000000;5761455
openmp;12.695640;10;100000000;5761455
openmp;12.775239;10;100000000;5761455
openmp;12.876946;10;100000000;5761455
openmp;11.449833;10;100000000;5761455
openmp;11.523351;10;100000000;5761455
openmp;12.507341;10;100000000;5761455
openmp;12.541025;10;100000000;5761455
openmp;12.590061;10;100000000;5761455
openmp;12.710004;10;100000000;5761455
mpi;9.726762;10;100000000;5761455
mpi;9.160248;10;100000000;5761455
mpi;9.208539;10;100000000;5761455
mpi;9.407538;10;100000000;5761455
mpi;9.274748;10;100000000;5761455
mpi;9.200180;10;100000000;5761455
mpi;9.708943;10;100000000;5761455
mpi;9.126191;10;100000000;5761455
mpi;9.295004;10;100000000;5761455
mpi;9.620371;10;100000000;5761455
hybrid;5.365205;10;100000000;5761455
hybrid;5.466958;10;100000000;5761455
hybrid;5.734346;10;100000000;5761455
hybrid;5.683542;10;100000000;5761455
hybrid;5.404590;10;100000000;5761455
hybrid;5.375273;10;100000000;5761455
hybrid;5.593291;10;100000000;5761455
hybrid;5.386284;10;100000000;5761455
hybrid;5.384767;10;100000000;5761455
hybrid;5.322901;10;100000000;5761455
openmp;12.299769;11;100000000;5761455
openmp;11.841812;11;100000000;5761455
openmp;10.950734;11;100000000;5761455
openmp;12.146154;11;100000000;5761455
openmp;12.235377;11;100000000;5761455
openmp;12.345981;11;100000000;5761455
openmp;11.965511;11;100000000;5761455
openmp;10.212131;11;100000000;5761455
openmp;12.432941;11;100000000;5761455
openmp;12.097006;11;100000000;5761455
mpi;8.901403;11;100000000;5761455
mpi;8.862128;11;100000000;5761455
mpi;9.269187;11;100000000;5761455
mpi;9.013729;11;100000000;5761455
mpi;9.553121;11;100000000;5761455
mpi;8.532759;11;100000000;5761455
mpi;8.580390;11;100000000;5761455
mpi;8.563317;11;100000000;5761455
mpi;9.081539;11;100000000;5761455
mpi;9.098358;11;100000000;5761455
hybrid;5.168999;11;100000000;5761455
hybrid;5.144147;11;100000000;5761455
hybrid;5.316928;11;100000000;5761455
hybrid;5.315923;11;100000000;5761455
hybrid;5.320102;11;100000000;5761455
hybrid;5.090564;11;100000000;5761455
hybrid;5.335064;11;100000000;5761455
hybrid;5.227198;11;100000000;5761455
hybrid;5.281087;11;100000000;5761455
hybrid;5.364468;11;100000000;5761455
openmp;11.650645;12;100000000;5761455
openmp;10.720991;12;100000000;5761455
openmp;11.613093;12;100000000;5761455
openmp;11.940232;12;100000000;5761455
openmp;10.582295;12;100000000;5761455
openmp;11.587671;12;100000000;5761455
openmp;9.754698;12;100000000;5761455
openmp;11.683775;12;100000000;5761455
openmp;11.649614;12;100000000;5761455
mpi;8.049264;12;100000000;5761455
mpi;8.110143;12;100000000;5761455
mpi;8.127396;12;100000000;5761455
mpi;8.435431;12;100000000;5761455
mpi;8.813474;12;100000000;5761455
mpi;7.882657;12;100000000;5761455
mpi;8.229693;12;100000000;5761455
mpi;8.377666;12;100000000;5761455
mpi;7.763797;12;100000000;5761455
mpi;8.227931;12;100000000;5761455
hybrid;4.725356;12;100000000;5761455
hybrid;4.929937;12;100000000;5761455
hybrid;4.944590;12;100000000;5761455
hybrid;4.671822;12;100000000;5761455
hybrid;4.841884;12;100000000;5761455
hybrid;4.723518;12;100000000;5761455
hybrid;4.885909;12;100000000;5761455
hybrid;4.887388;12;100000000;5761455
hybrid;4.819582;12;100000000;5761455
hybrid;4.689902;12;100000000;5761455
openmp;11.383761;13;100000000;5761455
openmp;11.683099;13;100000000;5761455
openmp;10.352599;13;100000000;5761455
openmp;11.514517;13;100000000;5761455
openmp;11.484418;13;100000000;5761455
openmp;11.232453;13;100000000;5761455
openmp;11.529155;13;100000000;5761455
openmp;11.197658;13;100000000;5761455
openmp;11.447594;13;100000000;5761455
openmp;11.264090;13;100000000;5761455
mpi;7.311441;13;100000000;5761455
mpi;7.995525;13;100000000;5761455
mpi;7.177007;13;100000000;5761455
mpi;7.511047;13;100000000;5761455
mpi;7.450133;13;100000000;5761455
mpi;7.400179;13;100000000;5761455
mpi;7.853565;13;100000000;5761455
mpi;7.795904;13;100000000;5761455
mpi;8.075077;13;100000000;5761455
mpi;8.244095;13;100000000;5761455
hybrid;4.618906;13;100000000;5761455
hybrid;4.419795;13;100000000;5761455
hybrid;4.449795;13;100000000;5761455
hybrid;4.972402;13;100000000;5761455
hybrid;4.565324;13;100000000;5761455
hybrid;4.378928;13;100000000;5761455
hybrid;4.633976;13;100000000;5761455
hybrid;4.903361;13;100000000;5761455
hybrid;4.406255;13;100000000;5761455
hybrid;4.564723;13;100000000;5761455
openmp;9.108507;14;100000000;5761455
openmp;11.078507;14;100000000;5761455
openmp;10.145194;14;100000000;5761455
openmp;9.127436;14;100000000;5761455
openmp;9.271427;14;100000000;5761455
openmp;10.646632;14;100000000;5761455
openmp;11.177157;14;100000000;5761455
openmp;10.097902;14;100000000;5761455
openmp;11.116151;14;100000000;5761455
openmp;9.820027;14;100000000;5761455
mpi;7.044645;14;100000000;5761455
mpi;7.365429;14;100000000;5761455
mpi;6.939178;14;100000000;5761455
mpi;7.623607;14;100000000;5761455
mpi;7.116625;14;100000000;5761455
mpi;6.726539;14;100000000;5761455
mpi;7.595717;14;100000000;5761455
mpi;7.087935;14;100000000;5761455
mpi;7.020732;14;100000000;5761455
mpi;7.385257;14;100000000;5761455
hybrid;4.063362;14;100000000;5761455
hybrid;4.268043;14;100000000;5761455
hybrid;4.098375;14;100000000;5761455
hybrid;4.525375;14;100000000;5761455
hybrid;4.583060;14;100000000;5761455
hybrid;4.141772;14;100000000;5761455
hybrid;4.207596;14;100000000;5761455
hybrid;4.597917;14;100000000;5761455
hybrid;4.254863;14;100000000;5761455
hybrid;4.296011;14;100000000;5761455
openmp;10.262277;15;100000000;5761455
openmp;10.791756;15;100000000;5761455
openmp;10.414090;15;100000000;5761455
openmp;10.909669;15;100000000;5761455
openmp;11.014623;15;100000000;5761455
openmp;11.050841;15;100000000;5761455
openmp;9.590617;15;100000000;5761455
openmp;11.184571;15;100000000;5761455
openmp;9.921816;15;100000000;5761455
openmp;10.786579;15;100000000;5761455
mpi;6.617141;15;100000000;5761455
mpi;6.785969;15;100000000;5761455
mpi;6.713328;15;100000000;5761455
mpi;7.154616;15;100000000;5761455
mpi;6.676033;15;100000000;5761455
mpi;6.736359;15;100000000;5761455
mpi;7.155457;15;100000000;5761455
mpi;7.252636;15;100000000;5761455
mpi;6.729855;15;100000000;5761455
mpi;6.771264;15;100000000;5761455
hybrid;4.373064;15;100000000;5761455
hybrid;4.374981;15;100000000;5761455
hybrid;4.333699;15;100000000;5761455
hybrid;4.129404;15;100000000;5761455
hybrid;4.666238;15;100000000;5761455
hybrid;3.965817;15;100000000;5761455
hybrid;3.984579;15;100000000;5761455
hybrid;4.259828;15;100000000;5761455
hybrid;4.362538;15;100000000;5761455
hybrid;4.329021;15;100000000;5761455
